2018-07-13,Лаборатория неразрушающего контроля Центральной заводской лаборатории,"Акционерное общество ""Восточно-Сибирский машиностроительный завод""","665805 665805, Россия, Иркутская область, г. Ангарск, а/я 514",(3951)575741,"",Жеребцов Александр Иванович начальник ЛНК,http://www.oaontc.ru/services/registers/lnk/1086452
2020-05-24,Лаборатория неразрушающего контроля,"Акционерное общество ""Воткинский завод""","427430 Удмуртская Республика, г. Воткинск, ул. Кирова, 2, отдел № 138","(34145) 65888, 65783",chebkasov@d138.vzavod.ru,Чебкасов Константин Сергеевич Начальник ЛНК,http://www.oaontc.ru/services/registers/lnk/1086453
2019-05-20,Лаборатории рентгенографирования отдела 70-02,"Акционерное общество ""Военно-промышленная корпорация ""Научно-производственное объединение машиностроения""","143966 М.О., г. Реутов-6, ул. Гагарина, д. 33",(495) 5289213,"",Кривошеев Игорь Николаевич Руководитель лаборатории,http://www.oaontc.ru/services/registers/lnk/1086454
2018-04-06,"Лаборатория неразрушающего контроля АО ""Веста Парк Конструкции""","Акционерное общество ""Веста Парк Конструкции""","390042 390042, г. Рязань ул. Станкозаводская д. 7, корп. 36",99-89-08,"",Болотин А.А. Начальник ЛНК,http://www.oaontc.ru/services/registers/lnk/1086455
2019-12-09,Лаборатория неразрушающего контроля,"Акционерное общество ""Восточно-Сибирская топливная компания""","664075 Иркутская обл., г. Ангарск, Промплощадка ОАО ""АНХК"", объект 68",(3955) 578974,vstk@irmail.ru,Королев Андрей Владимирович Руководитель лаборатории,http://www.oaontc.ru/services/registers/lnk/1086456
2019-06-03,Лаборатория неразрушающих методов контроля,"Акционерное общество ""Волжский Трубный Завод""","404119 г. Волжский, Волгоградской обл., ул. Автодорога №7, д. 6",(8443) 551204 доб. 3358,"",Лавриненко Анатолий Дмитриевич Начальник лаборатории,http://www.oaontc.ru/services/registers/lnk/1086457
2018-05-08,"Лаборатория дефектоскопии Центральной заводской лаборатории ОАО ""Выксун-ский металлургический завод""","Акционерное общество ""Выксунский металлургический завод""","607060 Нижегородская обл., Выксунский район,  г.Выкса, ул. Братьев Баташевых, д. 45","83177) 94751, 94160","",Копылов Александр Петрович Руководитель лаборато-рии,http://www.oaontc.ru/services/registers/lnk/1086458
2020-04-28,Лаборатория неразрушающего контроля и диагностики ИТЦ,"Акционерное общество ""Газмонтаж""","620144 Свердловская область, г. Екатеринбург, ул. Фрунзе, 100а",(343) 2208771,K_Domashev@gazeks.ru,Домашев Константин Александрович Начальник лаборатории,http://www.oaontc.ru/services/registers/lnk/1086459
2019-07-08,Лаборатория неразрушающего контроля,"Акционерное общество ""Газприборавтоматикасервис""","410086 г. Саратов,  ул. Песчано-Уметский тракт, 2-ой км",(8452) 458511,lnk@gpas.ru,Смирнов Иван Николаевич Начальник ЛНК,http://www.oaontc.ru/services/registers/lnk/1086460
2019-05-31,Центральная лаборатория,"Акционерное общество ""Газпром газораспределение Владимир""","600017 г. Владимир, ул. Краснознаменная, д. 3",(4922) 450480,"",Румянцев Вадим Николаевич Начальник центральной лаборатории,http://www.oaontc.ru/services/registers/lnk/1086461
